Bandit,Reward,Algorithm
3,5.043164678998724,EpsilonGreedy
2,2.166683189965858,EpsilonGreedy
3,4.275125485701004,EpsilonGreedy
0,1.1745452735051958,EpsilonGreedy
3,4.374305222187638,EpsilonGreedy
3,4.8739488287269355,EpsilonGreedy
2,4.175322894137928,EpsilonGreedy
3,2.4343891433966105,EpsilonGreedy
3,3.1597817782090942,EpsilonGreedy
3,3.7213639762629107,EpsilonGreedy
3,4.738707568775067,EpsilonGreedy
3,3.7471292830656626,EpsilonGreedy
3,3.3554119073226474,EpsilonGreedy
3,6.513525362443657,EpsilonGreedy
3,2.450396686453861,EpsilonGreedy
3,3.9761753008763456,EpsilonGreedy
3,4.040194841266113,EpsilonGreedy
3,3.3505603540194118,EpsilonGreedy
3,4.180832884395499,EpsilonGreedy
3,2.3010426721322768,EpsilonGreedy
3,4.311758142326241,EpsilonGreedy
3,4.4321059984897655,EpsilonGreedy
3,3.4792481571558396,EpsilonGreedy
3,5.110623723927585,EpsilonGreedy
3,3.1476871754311735,EpsilonGreedy
3,5.778973425610662,EpsilonGreedy
3,2.5883759322170237,EpsilonGreedy
3,3.5800596500483475,EpsilonGreedy
3,3.8007904221775832,EpsilonGreedy
3,5.238405986211124,EpsilonGreedy
3,4.888855139861615,EpsilonGreedy
3,4.046564363936753,EpsilonGreedy
3,4.733995681316406,EpsilonGreedy
3,5.090462772853824,EpsilonGreedy
3,3.577284418379174,EpsilonGreedy
3,5.488570878767222,EpsilonGreedy
3,5.740540277407552,EpsilonGreedy
3,3.5104859627634,EpsilonGreedy
3,4.028118294481176,EpsilonGreedy
3,4.07804626422432,EpsilonGreedy
3,4.731505586741077,EpsilonGreedy
3,4.831172405444482,EpsilonGreedy
3,4.706521071534237,EpsilonGreedy
3,4.857549480423193,EpsilonGreedy
3,2.298208269864186,EpsilonGreedy
3,3.753204712442817,EpsilonGreedy
3,4.121032496099012,EpsilonGreedy
3,4.310404391717066,EpsilonGreedy
3,1.759038764019747,EpsilonGreedy
3,3.020959592965582,EpsilonGreedy
3,1.77173824299771,EpsilonGreedy
3,5.970660588825276,EpsilonGreedy
3,4.423773639533463,EpsilonGreedy
3,4.2631613658878535,EpsilonGreedy
3,2.9440278694032713,EpsilonGreedy
3,4.6254500384445,EpsilonGreedy
3,2.6793174650981713,EpsilonGreedy
1,1.62799661768672,EpsilonGreedy
3,4.021374472015829,EpsilonGreedy
3,4.941457229095052,EpsilonGreedy
3,6.043860140657237,EpsilonGreedy
3,4.400014120460712,EpsilonGreedy
3,4.549260694535725,EpsilonGreedy
3,4.117654845855767,EpsilonGreedy
3,3.9733273300466525,EpsilonGreedy
3,4.371116061838726,EpsilonGreedy
3,5.989062161527618,EpsilonGreedy
3,3.184505829736977,EpsilonGreedy
3,4.11215191122551,EpsilonGreedy
2,3.537579351054248,EpsilonGreedy
3,5.5973479632655945,EpsilonGreedy
3,2.333142316549683,EpsilonGreedy
3,3.864417336818325,EpsilonGreedy
3,4.671659572292153,EpsilonGreedy
3,4.264934120882865,EpsilonGreedy
3,4.82674019658186,EpsilonGreedy
3,3.7077653798921997,EpsilonGreedy
3,4.840427313111092,EpsilonGreedy
3,2.9888487558616186,EpsilonGreedy
3,5.177203881541108,EpsilonGreedy
3,4.095131991834159,EpsilonGreedy
3,5.085298042073564,EpsilonGreedy
3,4.116837497465805,EpsilonGreedy
3,4.597633786341054,EpsilonGreedy
3,2.3172564237967643,EpsilonGreedy
3,4.479365396884552,EpsilonGreedy
3,4.856055645214517,EpsilonGreedy
3,3.363257744968699,EpsilonGreedy
3,4.149208851039378,EpsilonGreedy
3,5.600076825400119,EpsilonGreedy
3,4.592622641323647,EpsilonGreedy
3,5.007421105650566,EpsilonGreedy
3,3.417375833271707,EpsilonGreedy
3,3.033609534517765,EpsilonGreedy
3,3.125526520648102,EpsilonGreedy
3,4.082397555826233,EpsilonGreedy
3,3.666248014060407,EpsilonGreedy
3,3.2489283298487104,EpsilonGreedy
3,3.1923725591232675,EpsilonGreedy
3,3.3812117730451536,EpsilonGreedy
3,3.682653211980594,EpsilonGreedy
3,5.019569240631593,EpsilonGreedy
3,3.572458283798426,EpsilonGreedy
3,3.342879468532786,EpsilonGreedy
3,4.112727985982268,EpsilonGreedy
3,3.724970138984819,EpsilonGreedy
3,2.6980944157246114,EpsilonGreedy
3,4.3140660802607504,EpsilonGreedy
3,4.435267574737572,EpsilonGreedy
3,3.2951885325071917,EpsilonGreedy
3,4.62269642590737,EpsilonGreedy
3,5.940437598593572,EpsilonGreedy
3,4.874439026021111,EpsilonGreedy
3,2.864636859541193,EpsilonGreedy
3,2.836509977522245,EpsilonGreedy
3,2.9708352069755,EpsilonGreedy
3,2.8931084292036493,EpsilonGreedy
3,2.6514484140095,EpsilonGreedy
3,4.77752424715924,EpsilonGreedy
3,4.625797100032101,EpsilonGreedy
3,3.3727642373138096,EpsilonGreedy
3,3.096864392391373,EpsilonGreedy
3,5.448458628953502,EpsilonGreedy
3,2.6790653371321422,EpsilonGreedy
3,2.063342994414961,EpsilonGreedy
3,2.1458165916710934,EpsilonGreedy
3,2.2242273965159316,EpsilonGreedy
3,4.335346629590412,EpsilonGreedy
3,5.435874850778068,EpsilonGreedy
3,3.5364421830112325,EpsilonGreedy
3,4.086561416850598,EpsilonGreedy
3,4.459912965576547,EpsilonGreedy
3,3.999275392871931,EpsilonGreedy
3,4.8898233464107745,EpsilonGreedy
3,3.925768480106897,EpsilonGreedy
3,3.256496078411831,EpsilonGreedy
3,3.005440458647103,EpsilonGreedy
3,5.426938168090198,EpsilonGreedy
3,5.875481228942431,EpsilonGreedy
3,3.708283956528258,EpsilonGreedy
3,3.152204007085277,EpsilonGreedy
3,3.078986995393467,EpsilonGreedy
3,4.038199861094717,EpsilonGreedy
3,2.208541771903546,EpsilonGreedy
3,4.672156529735116,EpsilonGreedy
3,4.696379109266553,EpsilonGreedy
3,3.3008149173591423,EpsilonGreedy
3,4.350753390863637,EpsilonGreedy
3,3.0907267333061252,EpsilonGreedy
3,3.189003141917691,EpsilonGreedy
3,4.02079785877128,EpsilonGreedy
3,4.844596021983373,EpsilonGreedy
3,3.7273297019426135,EpsilonGreedy
3,5.081484725362998,EpsilonGreedy
3,3.965760599896741,EpsilonGreedy
3,4.763139987861852,EpsilonGreedy
3,3.7815141085583868,EpsilonGreedy
3,2.6762025648166476,EpsilonGreedy
3,4.055446389756881,EpsilonGreedy
3,3.8489032542746453,EpsilonGreedy
3,4.071299357473088,EpsilonGreedy
3,3.0298666721429024,EpsilonGreedy
3,3.0685253102839316,EpsilonGreedy
3,1.824529425345379,EpsilonGreedy
3,3.5022748265931196,EpsilonGreedy
3,3.2306090046865568,EpsilonGreedy
3,1.7142581706711062,EpsilonGreedy
3,3.520537933618601,EpsilonGreedy
3,4.078684351391132,EpsilonGreedy
3,3.5705972964978447,EpsilonGreedy
3,4.25032759245649,EpsilonGreedy
3,4.276556794933454,EpsilonGreedy
3,4.8623620456829535,EpsilonGreedy
3,4.062120939804796,EpsilonGreedy
3,3.55952151829103,EpsilonGreedy
3,2.0805956753083095,EpsilonGreedy
3,2.305701306276821,EpsilonGreedy
3,3.2408819068053405,EpsilonGreedy
3,5.897401197517207,EpsilonGreedy
3,3.5861407174882127,EpsilonGreedy
3,3.742130850521175,EpsilonGreedy
3,3.0532046383421276,EpsilonGreedy
3,3.6197039455878484,EpsilonGreedy
3,5.3984931894507255,EpsilonGreedy
3,3.830627464372805,EpsilonGreedy
3,3.7957961577070596,EpsilonGreedy
3,1.6817858081811203,EpsilonGreedy
3,4.452916049700924,EpsilonGreedy
3,3.2832042088894533,EpsilonGreedy
